Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
saffron.finance,Seed,3/8/2021,  2.000.000 ,,,,,,,Ethereum,Saffron.finance is a protocol for DeFi that offers asset collateralization and customized risk.,,DeFi,DeFi,,,,
Fei Protocol,Series A,3/8/2021,  19.000.000 ,,,,,,,Ethereum,stablecoin protocol,https://www.coindesk.com/business/2021/03/08/coinbase-naval-framework-ventures-back-19m-raise-for-a-capital-efficient-stablecoin/,DeFi,DeFi,,,,
StakeWise,Seed,3/8/2021,  2.000.000 ,,,,,,,"Ethereum,Gnosis",A liquid ETH2 staking protocol,https://decrypt.co/60568/stakewise-raises-2-million-to-make-ethereum-2-0-staking-easier,Liquid Staking Protocol,DeFi,,,,
NYDIG,,3/8/2021,  200.000.000 ,,,,,,,,NYDIG is a bitcoin company that provides technology and financial services to businesses in a broad range of industries.,,CeFi,CeFi,,Asset Management,,Asset Management
WonderFi,Seed,3/9/2021,  1.580.000 ,,,,,,,,WonderFi is a technology company that is providing individuals with better access to financial services through DeFi.,,CeFi,CeFi,CEX,,,CEX
Qredo,Seed,5/3/2021,  11.000.000 ,,,,,,,,Qredo is a platform that provides secure and fast movement of digital assets.,,,Infrastructures,,,,
Concordium,,3/9/2021,  15.000.000 ,,,,,,,,"Concordium is a next-gen privacy-focused, public and permissionless blockchain architecture with an ID Layer at the protocol level.",,L1,Infrastructures,Layer-1,,,Layer-1
Dialect,Seed,3/2/2022,  4.100.000 ,,,,,,,Solana,Web3 messaging,https://twitter.com/saydialect/status/1499024052635246593,,Web3,,,,
Komainu,Series A,3/9/2021,  25.000.000 ,,,,,,,,Komainu is a regulated digital asset custody startup.,,CeFi,CeFi,CEX,,,CEX
Diamond Standard,,3/9/2021,  18.000.000 ,,,,,,,,"Diamond Standard is a regulator-approved fungible commodity for natural resource, with a built-in wireless chip for electronic trading.",,,CeFi,CEX,,,CEX
bloXroute Labs,Series B,4/13/2022,  70.000.000 ,,,,,,,"Ethereum,Polygon,BSC",Blockchain Distribution Network,https://twitter.com/bloXrouteLabs/status/1513883910194843659,Infrastructure,Infrastructures,,Tooling,Reward,Tooling;Reward
OpenOcean,Seed,3/9/2021,  2.000.000 ,,,,,,,"BSC,Ethereum,Avalanche",OpenOcean offers a full range of products including price comparisons between Central Exchanges (CEX) and Decentralized Exchanges (DEX).,,DeFi,DeFi,,,,
MobileCoin,Series A,3/9/2021,  11.350.000 ,,,,,,,,MobileCoin is a cryptocurrency platform that provides anti-fraud services and payment systems for merchants.,,L1,Infrastructures,Layer-1,,,Layer-1
Praxis Society,SeriesA,3/2/2022,  15.000.000 ,0,,,,,,,A vibe-aligned community of creatives and technologists building the city-cryptostate,,,Web3,,,,
Nifty League,Seed,3/1/2022,  5.000.000 ,0,,,,,,,Bringing competitive gaming to Web3 while offering fun and engaging games for all play styles,,,Web3,,,,
Pocket Network,,4/29/2021,  9.300.000 ,,,,,,,,Pocket Network is a decentralized infrastructure that uses cost-efficient economics to coordinate and distribute data at scale.,,Infrastructure,Infrastructures,Data Service,,,Data Service
USDi0,Series A,3/10/2021,  10.000.000 ,,,,,,,,USDi0 is stable coin for fast and lawcost transfer,,DeFi,DeFi,,,,
Cryptostar,Post-IPO Equity,3/10/2021,  19.800.000 ,,,,,,,,Cryptostar engages in cryptocurrency mining operations.,,Mining,Service,,,,
Web3Games,Seed,3/1/2022,  4.000.000 ,0,,,,,,,An integrated platform for all things blockchain gaming,,,Web3,,,,
FalconX,,3/11/2021,  50.000.000 ,,,,,,,,"FalconX is a blockchain, cryptocurrency, and fintech company focused on cryptocurrency brokerage and digital asset trading platforms.",,L1,Infrastructures,Layer-1,,,Layer-1
Digihost,Post-IPO Equity,3/11/2021,  19.940.000 ,,,,,,,,Digihost is a blockchain tech company that specializes in cryptocurrency mining.,,Mining,Service,,,,
Crypterium,Equity Crowdsale,3/11/2021,  3.650.000 ,,,,,,,,"Crypterium mobile app allows instant payments in cryptocurrency. Whatever you can do with your money, you can now do with your crypto.",,CeFi,CeFi,CEX,,,CEX
NFT3,Strategic,2/28/2022,  7.500.000 ,0,,,,,,,The first unified virtual identity network for Web 3.0,,,Web3,,,,
Boson Protocol,,3/11/2021,  5.000.000 ,,,,,,,,Boson Protocol is the decentralized network on which future commerce will run.,,DeFi,DeFi,,,,
Alchemy,Series B,4/28/2021,  80.000.000 ,505000000,,,,,,,Developer Tools,https://techcrunch.com/2021/04/28/alchemy-raises-80m-at-a-505m-valuation-to-be-the-aws-for-blockchain/,Infrastructure,Infrastructures,Tooling,Frontend,Backend,Tooling;Frontend;Backend
Exorde Labs,Seed,2/27/2022,  1.200.000 ,0,,,,,,,The web3 protocol that empowers developers to scrape and link all public data on the web,,,Web3,,,,
Swing.xyz,Seed,3/12/2021,  3.000.000 ,,,,,,,,Swing is a decentralized cross-chain liquidity protocol on top layer 1 & 2 blockchains.,,,DeFi,,,,
Argo Blockchain,Post-IPO Equity,3/12/2021,  9.950.000 ,,,,,,,,"Argo is a blockchain technology company that offers cryptocurrency mining, smart contract fulfillment, and ease of transactions.",,Mining,Service,,,,
Nori,SeriesA,2/27/2022,  7.000.000 ,0,,,,,,,Developing a marketplace for carbon removals,,,Web3,,,,
Anubi Digital,Pre-Seed,4/28/2021,  1.820.000 ,,,,,,,,Anubi Digital is the first Italian platform to keep your Digital Assets safe and have them work in Institutional DeFi,,,Infrastructures,,,,
Templum,,4/28/2021,  14.740.000 ,,,,,,,,Templum is a blockchain powered fintech company that offers a regulatory compliant platform as securities and secondary trading.,,,Infrastructures,,,,
Firefly Exchange,Seed,3/13/2021,  6.380.000 ,,,,,,,,"Firefly is a decentralized, orderbook-based exchange with sub-second trade settlement.",,DeFi,DeFi,,,,
Mint Songs,Pre-Seed,3/14/2021,  1.250.000 ,,,,,,,,Mint Songs is the largest music NFT marketplace helping music artists build web3 communities,,NFT,NFT,Marketplace,,,Marketplace
ArDrive,Seed,2/26/2022,  17.200.000 ,0,,,,,,,The app that lets you pay once to securely save your files forever on the Arweave Permaweb,,,Web3,,,,
Efficient Frontier,Seed,3/15/2021,  2.000.000 ,,,,,,,,Efficient Frontier is a leading cryptocurrency algorithmic trading company and liquidity provider trading over $1 billion a week,,Trading,DeFi,,,,
filancore,Seed,2/24/2022,  440.000 ,0,,,,,,,"Helping organizations safeguard their digital business and assets in terms of a fully networked device and machine economy, called the internet of things (IoT)",,,Web3,,,,
Cradles,Strategic,2/22/2022,  5.000.000 ,0,,,,,,,"The first prehistoric blockchain game, which introduces the time and entropy system, making the real world time and space rules born in the game for the first time.",,,Web3,,,,
Atem Network,Seed,2/21/2022,  3.000.000 ,0,,,,,,,Decentralized community and SocialFi trades in a multi-chain Web3 group space,,,Web3,Social Network,,,Social Network
BuzzAR,Seed,2/21/2022,  3.800.000 ,0,,,,,,,"Augmenting places and faces, empowering the next billion users within a little universe",,,Web3,,,,
Bitpanda,Series B,3/16/2021,  170.000.000 ,1200000000,,,,,,,CeFi Investment Platform,https://www.coindesk.com/business/2021/03/16/crypto-has-another-unicorn-as-bitpanda-raises-170m-at-12b-valuation/,CeFi,CeFi,,Fundraising,Asset Management,Fundraising;Asset Management
Shrapnel,Series A,10/25/2023,  20.000.000 ,,,Yes,,,https://x.com/playSHRAPNEL,,,https://decrypt.co/203208/shrapnel-game-studio-neon-machine-raises-20-million-led-polychain,Gamefi,GameFi,Gaming,,,Gaming
Chillchat,Seed,2/21/2022,  1.850.000 ,10000000,,,,,,,"A pixel art NFT metaverse, a vast collection of virtual worlds, made entirely by its players",,,Web3,,,,
Anchor Protocol,,3/17/2021,  20.000.000 ,,,,,,,"Terra,Terra2","Anchor Protocol is a savings platform that provides crypto natives, fintech companies, and investors a stable, high interest rate finance.",,DeFi,DeFi,,,,
Syndicate,Seed,3/17/2021,  1.000.000 ,,,,,,,,Syndicate is a decentralized asset management platform and social network.,,Social Platform,DeFi,Asset Management,,,Asset Management
SONM,Pre-Seed,2/1/2017,  500.000 ,,,,,,,,SONMs blockchain-based decentralized fog computing platform.,,,Infrastructures,Cloud Services,Computing,,Cloud Services;Computing
Maple Finance,Venture Round,3/18/2021,  1.400.000 ,,,,,,,"Ethereum,Solana",Maple Finance is a capital-efficient corporate debt marketplace.,,DeFi,DeFi,,,,
Rage.Fan,Seed,3/18/2021,  1.600.000 ,,,,,,,,Rage.Fan is the first on-chain fantasy & utility NFT (uNFT) sports platform built on Blockchain Technology,,NFT,NFT,Fan Token,,,Fan Token
Bluecoat,Series A,9/1/2018,  20.000.000 ,,,,,,,,The future architecture of intellectual rights management,,Infrastructure,Infrastructures,Asset Management,,,Asset Management
Umazi,Pre-Seed,2/20/2022,  1.000.000 ,0,,,,,,,Automate and accelerate corporate identity verification,,,Web3,,,,
Republic,Series A,3/18/2021,  36.000.000 ,,,,,,,,"Republic curates private investing opportunities with high-growth potential across startups, gaming, real estate, and crypto.",,,CeFi,,,Fundraising,Fundraising
OpenSea,Series A,3/18/2021,  23.000.000 ,,,,,,,"Ethereum,Klaytn,Solana,Avalanche",NFT Platform,https://www.coindesk.com/markets/2021/03/18/nft-marketplace-opensea-raises-23m-led-by-andreessen-horowitz/,NFT,NFT,NFT,,,NFT
Digital Asset,Series D,4/21/2021,  120.000.000 ,,,,,,,,"Digital Asset develops ledger technology intended to build distributed, encrypted straight-through processing tools.",,Infrastructure,Infrastructures,Tooling,,,Tooling
Wirex,Series A,3/6/2017,  3.000.000 ,,,,,,,,Wirex is a digital payment platform that aims to make crypto and traditional currencies equal and accessible to everyone.,,,Service,,Payment,,Payment
Fireblocks,Series C,3/18/2021,  133.000.000 ,,,,,,,,Crypto Custody,https://twitter.com/FireblocksHQ/status/1372528288367775744,Infrastructure,CeFi,,Asset Management,,Asset Management
CherrySwap,Strategic,3/18/2021,  3.000.000 ,,,,,,,OKExChain,DEX,https://ambcrypto.com/next-gen-defi-platform-cherryswap-announces-3m-funding-listing-on-okexchain/,DeFi,DeFi,,,,
Zora,,3/19/2021,  8.000.000 ,,,,,,,Ethereum,Zora Labs is a marketplace for non-fungible tokens.,,NFT,NFT,Marketplace,,,Marketplace
Connext,Seed,3/19/2021,  2.200.000 ,,,,,,,"Gnosis,Arbitrum,Optimism,Moonbeam,Moonriver,Avalanche,Fuse,BSC,Polygon,Evmos,Cronos,Ethereum,Boba,Harmony,Milkomeda C1","Connext is an interoperability protocol that enables fast, fully-trustless communication between blockchains.",,DeFi,DeFi,,,,
Unmarshal,Seed,3/19/2021,  2.600.000 ,,,,,,,,Unmarshal is a Decentralized network of blockchain data indexers and transforming tools.,,,DeFi,,,,
FlickPlay,Seed,3/20/2021,  5.000.000 ,,,,,,,,FlickPlay is a Web3 social app where users may use NFTs to create AR films by unlocking them in the physical world.,,NFT,NFT,Social Network,,,Social Network
Brave,Seed,8/1/2016,  4.500.000 ,,,,,,,,"Brave Software focuses on increasing browsing speed and safety for users, while growing ad revenue share for content creators.",,Infrastructure,Infrastructures,Bandwidth,Security,,Bandwidth;Security
BRD,Series A,5/29/2018,  32.000.000 ,,,,,,,,"BRD designs, develops, and markets financial software.",,Infrastructure,Infrastructures,dApp,Tooling,,dApp;Tooling
Hytopia,Undisclosed,10/23/2023,  3.000.000 ,,,No,Đã mint NFT,No,https://x.com/HYTOPIAgg,,,https://x.com/HYTOPIAgg/status/1716537660804858353?s=20,Gamefi,GameFi,Gaming,NFT,,Gaming;NFT
EQIBank,Series A,3/22/2021,  9.980.000 ,,,,,,,,EQIBank is a global digital banking that provides traditional banking services for corporates and businesses.,,CeFi,CeFi,CEX,,,CEX
Graph Blockchain,Post-IPO Equity,3/23/2021,  7.940.000 ,,,,,,,,"Graph Blockchain is an Altcoin and DeFi company offering solutions for data management, business intelligence, and data analytics.",,Analytics,Service,,,,
Theta Labs,,3/23/2021,  100.000.000 ,,,,,,,Theta,The leading decentralized video delivery network powered by users and a native blockchain,,L1,Infrastructures,Layer-1,,,Layer-1
Mecha Morphing,Seed,2/19/2022,  2.000.000 ,0,,,,,,,A next-generation violence aesthetic combat strategy game,,,Web3,,,,
Aleo,Series A,4/20/2021,  28.000.000 ,,,,,,,,Privacy Blockchain,https://www.businesswire.com/news/home/20220207005251/en/Aleo-Raises-200M-in-Series-B-to-Expand-Products-and-Services-Built-on-Private-by-Default-Blockchain-Based-Platform,Zero Knowledge Industry,Infrastructures,Layer-1,,,Layer-1
Voatz,,4/20/2021,  1.300.000 ,,,,,,,,"Voatz is a mobile election voting platform, secured via smart biometrics, real time ID verification, and the blockchain for irrefutability.",,,Infrastructures,,,,
Blockchain.com,,3/24/2021,  300.000.000 ,,,,,,,,"Blockchain.com is a platform that offers ways to buy, hold, and use cryptocurrency.",,Centralized Exchange,CeFi,CEX,,,CEX
Filebase,Seed,4/20/2021,  2.000.000 ,,,,,,,,S3 Compatible Object Storage Powered by Blockchain,,,Infrastructures,,,,
RocketFuel,Private Equity,3/24/2021,  1.000.000 ,,,,,,,,RocketFuel is a global provider of 1-click payment option using Bitcoin & other cryptocurrencies with no card & bank fees & chargeback costs,,CeFi,CeFi,,Payment,Bitcoin,Payment;Bitcoin
Sardine,,3/24/2021,  4.600.000 ,,,,,,,,Sardine is fraud prevention and compliance software company for the digital economy.,,Cybersecurity,Service,,Security,,Security
StarkWare,Series B,3/24/2021,  75.000.000 ,,,,,,,,STARK-Based Scaling Solutions,https://www.theblock.co/post/99211/starkware-funding-round-ethereum-paradigm,L2,Infrastructures,Layer-2,,,Layer-2
Lolli,Seed,3/24/2021,  5.000.000 ,,,,,,,,Lolli is a rewards app that allows users to earn bitcoin when shopping online.,,CeFi,CeFi,CEX,,,CEX
BOSONIC,Corporate Round,4/20/2021,  7.050.000 ,,,,,,,,BOSONIC is a Fintech platform that eliminates counterparty credit and settlement risk in digital assets trading.,,,Infrastructures,,,,
Zap Solutions,,3/25/2021,  14.900.000 ,,,,,,,,"Zap, the crypto wallet which allows users to purchase Bitcoin instantly via the Lightning Network.",,Infrastructure,Service,Wallet,,,Wallet
Ignatica,Seed,4/19/2021,  7.000.000 ,,,,,,,,Technology Platform company for the Financial Services industry,,,Infrastructures,,,,
Alium Finance,Pre-Seed,3/25/2021,  2.200.000 ,,,,,,,BSC,Decentralized AMM Exchange with multi-blockchain option and NFTs,,DeFi,DeFi,,,,
RECUR,Seed,3/25/2021,  5.000.000 ,,,,,,,,"RECUR designs and develops on-chain branded experiences for fans to buy, collect, and re-sell NFTs.",,NFT,NFT,NFT,,,NFT
Drip Capital,Debt Financing,3/25/2021,  40.000.000 ,,,,,,,,Drip Capital offers trade financing product targeted towards SMEs in developing markets.,,,CeFi,,Asset Management,,Asset Management
Rabbithole,Series A,2/17/2022,  18.000.000 ,,,,,,,,Web3 learning,https://twitter.com/jarroddicker/status/1493656446348652545?s=21,,Web3,,,,
Chainalysis,Series D,3/26/2021,  100.000.000 ,2000000000,,,,,,,Blockchain Analysis,https://www.coindesk.com/business/2021/03/26/chainalysis-raises-100m-underscoring-surging-demand-for-blockchain-surveillance/,Analytics,Service,,,,
Bitski,Seed,7/30/2020,  1.000.000 ,,,,,,,,"Bitski allows creators, brands, and platforms to create, sell, and purchase NFTs.",,NFT,NFT,NFT,Marketplace,,NFT;Marketplace
Cartesi,Seed,5/21/2018,  150.000 ,,,,,,,,Cartesi is a developer of a Linux infrastructure designed for scalable decentralized applications.,,Infrastructure,Infrastructures,Tooling,dApp,,Tooling;dApp
Moonbeam Network,,3/30/2021,  6.000.000 ,,,,,,,Moonbeam,Moonbeam is a platform for cross-chain connected applications that unites assets and functionality from many blockchains.,,L1,Infrastructures,Layer-1,,,Layer-1
Dapper Labs,Series C,3/30/2021,  305.000.000 ,,,,,,,,Dapper Labs is a consumer-focused flow blockchain product made for fun and games and supports digital collectibles.,,,NFT,NFT,,,NFT
Gro,Seed,3/30/2021,  7.100.000 ,,,,,,,"Ethereum,Avalanche",Gro develops protocols or autonomous programs designed for a simple and friendly DeFi experience.,,DeFi,DeFi,,,,
SuperRare,Series A,3/30/2021,  9.000.000 ,,,,,,,,SuperRare is one of the marketplaces for non-fungible tokens.,,NFT,NFT,NFT,,,NFT
Liquity,Series A,3/30/2021,  6.000.000 ,,,,,,,Ethereum,CDP,https://medium.com/liquity/liquity-raises-6m-in-series-a-funding-cc9296513a7a,DeFi,DeFi,,,,
KICK ECOSYSTEM,ICO,6/1/2017,  23.000.000 ,,,,,,,,"One-stop shop in crypto: a next generation digital exchange, STO/ICO auction platform, wallet, payment acquirer and many other services.",,,Service,,Payment,,Payment
Yoello,Seed,3/30/2021,  4.200.000 ,,,,,,,,Yoello is a payments platform building infrastructure that connects banks and payment networks to merchants consumers.,,CeFi,CeFi,Asset Management,,,Asset Management
Delta Exchange,ICO,3/30/2021,  5.000.000 ,,,,,,,,Delta is a cryptocurrency derivatives exchange that offers futures on Bitcoin and 150+ altcoins and options on Bitcoin and 7 top coins,,,CeFi,CEX,,,CEX
MakeCents,,6/9/2017,  2.000.000 ,,,,,,,,MakeCents provides a blockchain platform for the payments industry.,,,Service,,Payment,,Payment
CoinMetro,,4/15/2021,  2.200.000 ,,,,,,,,CoinMetro is a financial platform fueling the future of blockchain innovation.,,,Infrastructures,,,,
Blockcap,,3/31/2021,  38.000.000 ,,,,,,,,Bitcoin Mining,https://cointelegraph.com/news/bitcoin-miner-blockcap-closes-75m-investment-led-by-off-the-chain-foundry-digital,Mining,Service,Bitcoin,Mining,,Bitcoin;Mining
Cartesi,Angel Round,3/1/2018,  100.000 ,,,,,,,,Cartesi is a developer of a Linux infrastructure designed for scalable decentralized applications.,,Infrastructure,Infrastructures,Tooling,dApp,,Tooling;dApp
Ember Fund,Seed,3/31/2021,  5.300.000 ,,,,,,,,Non-custodial crypto investing app,https://www.theblock.co/linked/99926/non-custodial-crypto-investing-app-ember-fund-5-3-million-seed,CeFi,DeFi,DEX,,,DEX
Curio,Seed,8/6/2024,  5.700.000 ,,,No,No,No,https://www.curio.gg/,,web3 game studio,,Gaming,GameFi,Gaming,Publisher,,Gaming;Publisher
Element Finance,Seed,3/31/2021,  4.400.000 ,,,,,,,Ethereum,Liquidity for Fixed Rate Income and Interest Markets,https://medium.com/element-finance/element-finance-raises-4-4m-to-bring-liquidity-to-fixed-rate-income-and-interest-markets-fea72f4ef726,DeFi,DeFi,,,,
OVEX,Strategic,3/31/2021,  4.000.000 ,,,,,,,,South African crypto prime broker,https://www.theblock.co/post/99956/crypto-prime-broker-ovex-raises-4-million-alameda,Trading,CeFi,CEX,,,CEX
Vera Labs,Seed,4/1/2021,  3.000.000 ,,,,,,,,Vera Labs is a developer-oriented fintech company that enables non-custodial financial services for NFTs such as rentals and mortgages.,,Web3,NFT,NFT,,,NFT
